cur_batch,avg_ep_rewards,avg_ep_error,avg_actor_loss,timestamp
0,37.9072265625,0.04616691351523131,-0.00027958408,1683122520.480597
1,39.048828125,0.04646629417555794,-0.0002431582,1683122550.1180649
0,38.6611328125,0.046331086775750686,-0.00034102792,1683123344.847583
1,39.2578125,0.04654046511918956,-0.00018457309,1683123363.6354911
2,38.525390625,0.046551701459763256,-0.00018236408,1683123374.309201
3,39.91796875,0.04683756805768664,-0.00038949423,1683123385.338686
4,40.8818359375,0.046879155504335204,-0.000610321,1683123396.652997
5,41.1982421875,0.04694789580247839,-0.0002495945,1683123407.389459
6,42.615234375,0.04732691936400709,-0.000117808755,1683123418.313119
7,42.74609375,0.04732372752487209,-2.6251673e-05,1683123429.278978
8,42.7841796875,0.047361798478114524,-9.226387e-05,1683123440.159769
9,43.9267578125,0.047366211108071696,-0.000102283244,1683123450.882019
10,44.3037109375,0.0474792174592293,-0.00010694795,1683123462.096912
11,43.8564453125,0.04736236674950535,-9.842929e-05,1683123481.432874
12,44.298828125,0.047336458472814064,-0.00013955127,1683123492.347698
13,44.8525390625,0.047342958756891436,-0.00013121303,1683123503.313849
14,44.3876953125,0.047217631935366385,-8.453467e-05,1683123514.253409
15,45.7998046875,0.04756322302511244,-9.258262e-05,1683123525.499499
16,44.763671875,0.04704261398389884,-0.00013928654,1683123536.545245
17,45.9638671875,0.04738643273372803,-0.0001740951,1683123552.059098
18,46.56640625,0.04736032199619499,-0.00019717411,1683123572.010966
19,46.41015625,0.04710516786188149,-0.00011082557,1683123584.66308
20,46.4140625,0.046999966019505235,-3.8201048e-05,1683123595.586176
21,46.623046875,0.04681815040100694,-2.6160302e-05,1683123614.760606
22,47.724609375,0.04690868373666702,-1.5900907e-05,1683123626.261744
23,46.3173828125,0.04703789629558741,-5.9045706e-05,1683123637.540066
24,47.2392578125,0.04669276126261663,-6.06349e-05,1683123649.295533
25,47.287109375,0.04703080410202206,-5.08932e-05,1683123661.236382
26,47.3583984375,0.046720207823219416,-7.831861e-05,1683123672.514485
27,47.935546875,0.04680630260580021,-7.455352e-05,1683123683.639594
28,47.8623046875,0.046638808189972694,-0.00012475104,1683123694.390762
29,48.4365234375,0.04664885616072112,-7.673547e-05,1683123705.608119
30,48.3232421875,0.04664481124091466,-7.76605e-05,1683123717.102773
0,37.9716796875,0.04636078561126182,-0.00030640786,1683123753.9948711
1,38.7734375,0.046305955323867096,-0.00044835583,1683123773.841822
2,38.6181640625,0.04636528428657731,-0.00022873783,1683123785.148714
3,40.8916015625,0.047032405180841466,-0.00016227496,1683123796.7360609
4,41.591796875,0.047130748762062906,-0.0001280551,1683123808.482395
5,41.9453125,0.04730744852550568,-0.00011892516,1683123820.3354292
6,42.849609375,0.0473123429551964,-0.00022705065,1683123831.895181
7,42.9853515625,0.04738460782143808,-0.00013234893,1683123843.9211578
8,42.033203125,0.047159971320555806,1.130052e-05,1683123855.681748
9,43.1279296875,0.0473314418864642,-0.00010876455,1683123867.5076668
10,42.9189453125,0.0473878182454704,-0.00018276756,1683123879.2144482
11,43.244140625,0.0473326908589582,-1.213102e-05,1683123890.78197
12,43.8505859375,0.0473549553843876,-7.647481e-05,1683123902.8549812
13,44.615234375,0.047526008621361804,-0.00023888303,1683123914.5898151
14,44.5537109375,0.04731646613583992,-3.0015082e-05,1683123925.8152242
15,45.2890625,0.04728534627868678,-2.9619314e-05,1683123937.541377
16,44.849609375,0.047091846195305286,-0.00015544845,1683123949.467255
17,45.2490234375,0.04733517299236365,-0.00021997467,1683123961.427638
18,45.8837890625,0.04739982395301181,-0.00013616262,1683123972.5610712
19,45.66796875,0.0472813080820262,-3.1228825e-05,1683123983.590527
20,46.345703125,0.04726651038885542,-1.8578901e-05,1683123995.4622269
0,37.890625,0.04630781242569977,-0.00021525605,1683124021.45595
21,46.4287109375,0.04721329428655478,-3.9292638e-05,1683124027.8292549
22,46.408203125,0.04724271240076168,-2.9785006e-05,1683124048.7737348
1,38.9560546875,0.046474604041035206,-7.6557706e-05,1683124052.409029
23,46.775390625,0.047158582840315384,-5.000204e-05,1683124067.038989
2,38.970703125,0.04650714496825191,-0.00026507425,1683124070.465467
24,47.6552734375,0.04712651115563979,-4.708132e-05,1683124081.853947
25,47.8955078125,0.04709605788618247,-0.00010488002,1683124093.984342
26,46.2880859375,0.04679423080297074,-0.0001213736,1683124105.61427
27,47.056640625,0.0471112157674822,4.096076e-06,1683124116.352139
28,46.982421875,0.04690901855261438,-0.00020866348,1683124127.756397
29,48.4423828125,0.046747686774563105,1.0969326e-05,1683124143.1873732
30,47.626953125,0.0465924021977195,-9.747446e-05,1683124163.944096
0,38.67578125,0.046416456362347064,-0.00023152381,1683124176.0108328
31,47.509765625,0.04699113195396875,-1.0468959e-05,1683124181.1274638
32,48.9423828125,0.04679073695225396,-3.564971e-05,1683124200.124392
33,48.79296875,0.046550511578392524,-4.8064416e-05,1683124221.853288
34,49.5712890625,0.04662163356959664,-8.752495e-05,1683124241.3609972
35,49.490234375,0.04652313115210752,-5.1400664e-05,1683124259.8901818
1,37.685546875,0.04622166006994321,-7.287538e-05,1683124274.337483
36,49.5390625,0.046379452497741586,-4.1865038e-05,1683124278.6350799
37,49.7685546875,0.046660392207890644,-6.6595254e-05,1683124292.9724212
38,49.2646484375,0.04623368274621249,-4.975328e-05,1683124306.7247958
39,50.2666015625,0.04647292530216832,-5.6423218e-05,1683124320.634757
40,49.7392578125,0.04668237371831512,-8.282712e-05,1683124333.98842
41,50.126953125,0.046400729791574225,-6.33288e-05,1683124357.635808
42,51.5703125,0.04652178836176109,-5.799461e-05,1683124371.040483
43,51.8408203125,0.04636416008383229,-6.671206e-05,1683124385.096504
44,50.951171875,0.04651621598089063,-5.1738578e-05,1683124398.203134
45,51.0244140625,0.04628891898941448,-6.065127e-05,1683124410.6100779
46,52.109375,0.04642572606830103,-8.239189e-05,1683124423.2383208
47,51.880859375,0.04657444928968821,-1.7097263e-05,1683124434.3325498
48,52.0380859375,0.04637838149390665,-1.3665922e-05,1683124446.061949
49,52.4931640625,0.04621952650472787,-5.8166206e-05,1683124458.1728692
50,52.2353515625,0.046364388869765426,-8.0032456e-05,1683124469.588116
51,52.015625,0.046482071569616305,-5.0776165e-05,1683124482.616504
52,51.9462890625,0.04652055281056512,-4.741701e-05,1683124494.3535411
53,52.5869140625,0.046315864840828294,-4.3660166e-05,1683124506.087185
54,53.1484375,0.046481997748942974,-1.089403e-05,1683124517.5631301
55,52.9501953125,0.04669774062646835,-2.4951263e-05,1683124529.346754
56,53.2646484375,0.046361159359632996,-5.7167083e-05,1683124540.99439
57,52.447265625,0.04657659203131953,-0.00015136595,1683124552.195955
58,54.1396484375,0.04644778239731852,1.8768309e-06,1683124563.595596
59,53.5234375,0.04650416472687868,-3.096609e-05,1683124575.2015748
60,53.5576171875,0.04642439818062259,-9.222037e-05,1683124586.444525
61,52.990234375,0.046407254273642146,-5.8870548e-05,1683124606.272301
62,53.2998046875,0.046786007574288864,-8.303968e-05,1683124617.622834
63,53.875,0.046484046190186555,-4.141521e-05,1683124628.89312
64,53.9423828125,0.04650417969579656,-4.069179e-05,1683124640.363455
65,53.7568359375,0.046693914463008135,-1.9867197e-05,1683124651.446922
66,54.5068359375,0.0467411709654848,-4.4619337e-05,1683124662.55229
67,55.3115234375,0.046442944500279984,-6.103213e-05,1683124673.8465972
68,54.1923828125,0.04643212719311782,-0.00014321881,1683124685.356023
69,54.54296875,0.04654124759778153,-5.9325694e-06,1683124697.223434
70,54.4326171875,0.04660795164045822,-5.3599266e-05,1683124708.563089
71,54.4638671875,0.04678388191850931,-8.277774e-05,1683124719.73724
72,54.84765625,0.046935339500589326,-0.000101539226,1683124731.0583
73,55.9296875,0.04689581435837234,-0.00013020083,1683124742.477231
74,55.8271484375,0.04678145512178132,-0.0001767004,1683124753.825341
75,54.154296875,0.04682076866018177,-0.0001195339,1683124765.885779
76,55.51171875,0.046792008155472936,-0.00012266675,1683124778.4588642
77,55.0263671875,0.047022548514888345,-8.533612e-05,1683124789.5374348
78,55.845703125,0.046872351979776544,-7.890241e-05,1683124800.815786
79,56.1884765625,0.04698583167610287,-0.00012915247,1683124812.039299
80,56.3349609375,0.046989360442021136,-0.00015388572,1683124823.4058628
81,56.8466796875,0.04704625645634301,-6.562409e-05,1683124844.2997591
82,56.1630859375,0.047074507378955785,-0.000116252995,1683124855.862431
83,56.869140625,0.04693261776301175,-0.00023971747,1683124867.302818
84,57.39453125,0.04705108679056207,-0.00031204542,1683124878.79529
85,57.453125,0.04729369026461812,-1.722081e-05,1683124890.543683
86,57.8251953125,0.04686663924697516,-0.00012964482,1683124903.0364108
87,58.69921875,0.04681018772634459,-6.24718e-05,1683124916.172019
88,58.685546875,0.046936336742716786,-8.007031e-05,1683124928.013957
89,58.1923828125,0.04716858736760229,-0.000151091,1683124939.775742
90,58.349609375,0.047339819525453,-2.6824488e-05,1683124951.668891
91,59.7392578125,0.046909590682293154,-5.0514063e-05,1683124963.2160032
92,59.705078125,0.04686068893853411,-9.678023e-05,1683124974.728616
93,60.0703125,0.04699966061529993,-0.00021006276,1683124986.305717
94,60.552734375,0.04676570669141222,5.178298e-05,1683124998.2703612
95,61.33984375,0.04640826848438295,-0.00030286977,1683125011.0389729
96,61.0478515625,0.04662612056699205,-0.00011512176,1683125023.0687559
97,61.2587890625,0.04646018822971217,-0.00023218295,1683125035.552278
98,62.376953125,0.04634068395080714,-0.0002339206,1683125047.0245068
99,63.58203125,0.045928921012746565,-0.00021346107,1683125059.056563
